scan_id,dx,dy,dz,dyaw,fitness,rmse
142,-0.0016420256341649411,-0.0034651743215726115,-0.00031246103251728735,-0.020068691321874124,1.0,0.014158837522132952
143,0.308028950052696,1.223774201355557,0.7399487866855388,1.7105425192659842,0.17940876656472987,0.56288349839125
144,-0.0027258671036603736,-0.0032816481737640174,-0.000384250382368008,-0.020452275380697178,1.0,0.014626593742061822
145,0.33767393975988846,1.144305024253887,0.759314228142935,1.6580825796571135,0.17880794701986755,0.5611911251347234
146,0.0006580988488992329,-0.0061136562245414795,-0.00021429908409169326,-0.009594284918917272,1.0,0.013103873125775371
147,0.35110976354529005,-1.198070973238737,0.7297746239015555,-1.6842029322240712,0.17988883274381,0.56275619472495
148,0.003030119253097737,-0.006149225313980144,-0.0002852989985452981,0.009666207141516482,1.0,0.013732301196424242
149,-0.004466714384195434,0.02233054266291902,0.03217282325401879,-0.0049137168813932035,0.18850806451612903,0.8676883064627009
150,-0.00284073619164754,-0.006090100968208541,-0.00022508830590885207,-0.009562644388469698,1.0,0.01309519094098949
151,-0.43852793591614075,-0.9972433549999203,0.76167554920529,1.61245000047868,0.17272727272727273,0.5608527014727025
152,-0.0003279687670108993,-0.006255827704498737,-0.0002924589981989148,0.009960451212433382,1.0,0.013884460920293471
153,-0.006850646128854471,0.02057336142108266,0.03308487336429133,-0.000653250159377094,0.1889564336372847,0.8684981385831038
154,0.002796662607670017,6.382002636978757e-05,8.415369747281914e-05,0.008339123858843282,1.0,0.0023703043069462936
155,-0.0004756731356633664,-0.006412958234357712,-0.0003606732905735363,0.009682862563486832,1.0,0.013394212859569904
156,-0.0009207270962516094,-0.00012560180221857063,-2.5860050937926714e-05,1.7039749953768764e-06,1.0,0.004715865938081539
157,1.2433513402329333,-0.3386466826902752,0.35948411993024504,0.22655297389171586,0.16983967935871744,0.5935577182615652
158,0.00030190586892477663,-0.00011655074181413096,-0.00010664409644137865,0.008683267429408314,1.0,0.013433843641947467
159,1.240618609287692,-0.3480033211012534,0.3574614468375939,0.2211303102703256,0.16908454227113556,0.5925862664742267
160,-0.006747722250903629,0.002297152408245823,-5.846591776215115e-05,-0.020223535120803892,1.0,0.010576720035965171
161,1.1944345787131858,0.45945691174812725,0.3782604232998754,-0.14294457708768255,0.16959357752132465,0.5957158455989134
162,-0.0026349944500592697,-0.002358347588262949,-0.0003692368687863158,-0.008745411202382185,1.0,0.007949117929957821
163,-0.008040482610941325,0.002264061594649633,-2.5700463203743595e-05,-0.011187278264308822,1.0,0.009409163600222665
164,-0.00033115047508836,-0.00012702265215344682,-1.762546741458651e-05,-5.502727708696132e-06,1.0,0.0027106094540491447
165,0.3147373832830004,-1.2215789553199223,0.7309460255941973,-1.7228726294602434,0.1783023606228026,0.5617931433405106
166,-0.0025871679432396266,-0.0023592755944758935,-0.0003670485363655511,-0.00874733372217142,1.0,0.007936714167857586
167,-0.010269123817810435,0.0014824889346462225,-0.00023817319349129384,-0.014350091508591192,1.0,0.009725986314968633
168,-0.0013449395921771253,-0.0004297209795430149,-2.9074204465472764e-05,0.00013693834272238316,1.0,0.008217590912711186
169,-0.44532521639906597,-0.999987779434939,0.7639401327722428,1.6103366266253467,0.1740648379052369,0.5519782427494473
170,-0.007953627120389554,-0.004474744652215302,-0.0005618954573119897,0.031622909754094576,1.0,0.01336214170494091
171,-0.39058106655034863,1.0367444529350944,0.7749081850842946,-1.6277684680818671,0.1735454997513675,0.5532351745785131
172,-0.011748924306828697,-0.0012493573814441588,-0.0005203085074033383,0.0011996249239270022,1.0,0.013610891391111032
173,-0.4263654866217754,1.0396437463342925,0.7527096157545701,-1.6347042974348538,0.1752988047808765,0.5518136895504984
174,-0.010053696484926055,-0.004521471186478717,-0.0007962637018916979,0.02945040773854312,1.0,0.013462388719585536
175,-0.3967108737936023,1.0473417005895076,0.7683286487744847,-1.6357711178405332,0.17543859649122806,0.5491286318918844
176,-0.014920107589890739,-0.0016160652251878385,-0.0008226632647609988,0.0015764710701671022,1.0,0.01359628952235912
177,0.40769899079007654,1.0583234024802946,0.7542222847558421,1.6292185248590416,0.17393483709273183,0.5628821444125413
178,0.00014943043242522978,-0.00310464013405642,0.00028433452641735835,-0.020353337099457587,1.0,0.011878104474481392
179,-0.6401271484440035,0.76486838189289,0.686955743747657,-1.4841035952943529,0.1732477788746298,0.5685725674732935
180,0.0019747511566617607,-0.0020933191789455903,0.0008019290432727045,0.00019437930771126527,1.0,0.011075181290284527
181,-0.6830072533730934,0.7841958330625113,0.6392225673191297,-1.4837512099013634,0.17376237623762375,0.5656175727665838
182,0.00036303323054402237,-0.00435240661381051,-0.0007166999056294824,0.0003387310236750064,1.0,0.011133661406693647
183,0.002443228878311131,-0.002417882248966303,0.0008908798007824866,-0.0012602364433758064,1.0,0.01133627403789281
184,0.5690278089770517,0.679562258308321,0.7346495670942493,1.4952497969355618,0.17576961271102284,0.5824329711744161
185,-0.00020916487245511428,-0.011116917319318055,-0.0007070287456370118,2.798461705644387e-06,1.0,0.010451658138378667
186,-0.0008384633699412005,-9.267077516127828e-05,-4.260965528307686e-05,-3.627726455957937e-06,1.0,0.0044272577572177915
187,-0.62944826043272,0.7331359164747377,0.6992429301269812,-1.4723546245435815,0.17341329335332334,0.5668946055412669
188,0.00047127121163182767,-0.0032023358410705207,0.0009422400259802989,0.0004191771529706021,1.0,0.012217011572747495
189,0.2825924266960939,1.2783070902112732,0.69454170443681,1.7284495172039083,0.17926890335503254,0.5672507473632019
190,-0.002471104433925506,-0.011500699716091727,-0.0005949003588273977,-0.0026672068401840956,1.0,0.010581776385614161
191,0.40560952843608705,1.2263105451624887,0.7027952742030179,1.673215228832886,0.18118118118118118,0.571122692954483
192,-0.0028669233694036842,-0.011935373366092168,-0.0008091487349594465,0.0002525127973893231,1.0,0.009825457774994413
193,0.396641491245433,1.220201383400754,0.7134385290382053,1.6631620183295044,0.18023833167825223,0.5742306398545436
194,0.0018956858782784658,-0.007356079098962824,-0.0005386153721474855,0.02056958672708817,1.0,0.013695672599832882
195,0.2982466012135467,1.2261711525338899,0.741960842748523,1.7034144607131716,0.1763261296660118,0.5613767328495486
196,-0.006415339447354463,-0.004966705560314269,-3.0902800631055394e-05,-0.00017417965891159494,1.0,0.012911875087719517
197,0.2442789583877676,1.2658916380764362,0.7213187071867184,1.741202619493227,0.17707820954254797,0.5627153163409359
198,-0.0014845055961322333,-0.007465842565979176,-0.0006378659971927531,0.021081859744813376,1.0,0.013809601385781566
199,0.2562121058408848,1.2816609544296824,0.6868428076227273,1.760769432357313,0.17757009345794392,0.5647793134823165
200,-0.008585167826441684,-0.0048581412363641755,-0.00020219116920297553,-0.00033003548969462915,1.0,0.01278949324209311
201,0.26168240337780185,1.281396996832818,0.6862780937946642,1.760546439448873,0.17728395061728394,0.5647623522283147
202,-0.0030306113057116633,-0.007960513631386456,-0.0007160176246960583,0.0216727608343322,1.0,0.014139121694768534
203,0.25347273848523294,1.281207207653747,0.6909890047930691,1.759309468303112,0.17679012345679013,0.5653971119587324
204,-0.010841298612456272,-0.004699407236420778,-0.0004255246973701848,-0.0004901155938987011,1.0,0.012725991366145812
205,-0.5226566102806021,1.0020646539969198,0.732451598343984,-1.5821561607125008,0.17226061204343535,0.5545462393504275
206,-0.005105049959449972,-0.00765759163078977,-0.0008599974786965216,0.022088223936059127,1.0,0.014037205705304253
207,-0.418392933561521,1.110789269013593,0.700750542211829,-1.6744258048559508,0.17083946980854198,0.5453105362963464
208,-0.01319698813171623,-0.004465521283440411,-0.000719377252543973,-0.0006662180856344588,1.0,0.012743059394519191
209,-0.40941303874258916,1.072333293333296,0.7585088516965548,-1.6394813005152185,0.16986706056129985,0.5432515272002939
210,-0.007191431505265773,-0.007376062977384648,-0.001054599500401591,0.02248988304484365,1.0,0.0140645634844003
211,-1.2346979230819881,-0.26151346340614917,0.308263664108016,-0.29225144744468196,0.16699507389162563,0.5865574027131114
212,-0.015803724172609827,-0.004121384834960468,-0.0011285620684766287,-0.0008795378373688216,1.0,0.012931712925872247
213,-0.37657887195263967,1.106415674985562,0.7331242960755047,-1.6765644962538466,0.17152743450321306,0.5432752839525081
214,-0.012415104580682427,-0.0058656008247114765,-0.001299500861659747,0.012562968750217302,1.0,0.013781251779887942
215,-0.4029330010408063,1.1072478513702289,0.7177014834004425,-1.677657952371909,0.17237953303527073,0.5434444407903598
216,0.00773611018727681,-0.004682610852543179,-3.355005565478568e-05,-0.00048689272475160037,1.0,0.01252602319662857
217,-0.7000026769370654,0.6933689287994678,0.6508768931112983,-1.450620708391125,0.17239661185849528,0.579328263826523
