time,x,y,yaw,gyro_bias
104.26,5.177593083778164,-4.914557586578482e-15,-9.491973407443386e-16,0.0
104.28,5.17984520038145,-4.9166952896693676e-15,-9.491973407443386e-16,0.0
104.3,5.181442665056656,-4.9182115988910055e-15,-9.491973407443386e-16,0.0
104.32,5.183046861099276,-4.919734297508694e-15,-9.491973407443386e-16,0.0
104.34,5.185534407068389,-4.922095469527555e-15,-9.491973407443386e-16,0.0
104.36,5.187585996883238,-4.9240428331241074e-15,-9.491973407443386e-16,0.0
104.38,5.1899077847029345,-4.926246667948337e-15,-9.491973407443386e-16,0.0
104.4,5.191929404531264,-4.9281655841133824e-15,-9.491973407443386e-16,0.0
104.42,5.194072585407432,-4.930199885701776e-15,-9.491973407443386e-16,0.0
104.44,5.1962330548113576,-4.932250597514741e-15,-9.491973407443386e-16,0.0
104.46,5.198806696362643,-4.934693491231252e-15,-9.491973407443386e-16,0.0
104.48,5.201228758614639,-4.936992506279963e-15,-9.491973407443386e-16,0.0
104.5,5.2031855287705095,-4.9388498673083634e-15,-9.491973407443386e-16,0.0
104.52,5.205643128468878,-4.941182614406669e-15,-9.491973407443386e-16,0.0
104.54,5.206925620956333,-4.9423999528652856e-15,-9.491973407443386e-16,0.0
104.56,5.208957993787901,-4.944329075752411e-15,-9.491973407443386e-16,0.0
104.58,5.210420934903393,-4.945717695568902e-15,-9.491973407443386e-16,0.0
104.6,5.2128003784712424,-4.9479762570759556e-15,-9.491973407443386e-16,0.0
104.62,5.214462676255977,-4.94955410571275e-15,-9.491973407443386e-16,0.0
104.64,5.216263955468532,-4.951263875151247e-15,-9.491973407443386e-16,0.0
104.66,5.217940580797756,-4.95285532345517e-15,-9.491973407443386e-16,0.0
104.68,5.22016006550954,-4.954962052441418e-15,-9.491973407443386e-16,0.0
104.7,5.22282901982932,-4.957495416784322e-15,-9.491973407443386e-16,0.0
104.72,5.224857395215684,-4.9594207453070904e-15,-9.491973407443386e-16,0.0
104.74,5.226536895837193,-4.961014922830806e-15,-9.491973407443386e-16,0.0
104.76,5.228850048631154,-4.963210561311568e-15,-9.491973407443386e-16,0.0
104.78,5.230348437809739,-4.964632828335282e-15,-9.491973407443386e-16,0.0
104.8,5.232454322868309,-4.966631728832789e-15,-9.491973407443386e-16,0.0
104.82,5.233558541827404,-4.9676798505323615e-15,-9.491973407443386e-16,0.0
104.84,5.235812582807913,-4.96981938023699e-15,-9.491973407443386e-16,0.0
104.86,5.238018823491236,-4.9719135380266425e-15,-9.491973407443386e-16,0.0
104.88,5.23998486240388,-4.9737796969343234e-15,-9.491973407443386e-16,0.0
104.9,5.242038904286889,-4.9757293880274535e-15,-9.491973407443386e-16,0.0
104.92,5.243773420139117,-4.977375785861868e-15,-9.491973407443386e-16,0.0
104.94,5.246068030635269,-4.979553824042859e-15,-9.491973407443386e-16,0.0
104.96,5.247048940771468,-4.980484901335648e-15,-9.491973407443386e-16,0.0
104.98,5.248472463098984,-4.981836104943416e-15,-9.491973407443386e-16,0.0
105.0,5.250622859991315,-4.983877255955162e-15,-9.491973407443386e-16,0.0
105.02,5.252585884323868,-4.985740553431437e-15,-9.491973407443386e-16,0.0
105.04,5.254931597760892,-4.987967098388009e-15,-9.491973407443386e-16,0.0
105.06,5.256384059526866,-4.989345771233803e-15,-9.491973407443386e-16,0.0
105.08,5.258565915119971,-4.991416782760667e-15,-9.491973407443386e-16,0.0
105.1,5.260555195771868,-4.993305002665442e-15,-9.491973407443386e-16,0.0
105.12,5.26207441188588,-4.9947470385608786e-15,-9.491973407443386e-16,0.0
105.14,5.264258547950882,-4.996820214705602e-15,-9.491973407443386e-16,0.0
105.16,5.26634387434167,-4.998799600970322e-15,-9.491973407443386e-16,0.0
105.18,5.267830799076545,-5.000210985974552e-15,-9.491973407443386e-16,0.0
105.2,5.270050552523287,-5.002317970043308e-15,-9.491973407443386e-16,0.0
105.22,5.27212205812186,-5.00428423764881e-15,-9.491973407443386e-16,0.0
105.24,5.2744699429834405,-5.006512843715796e-15,-9.491973407443386e-16,0.0
105.26,5.277156632269755,-5.009063042041771e-15,-9.491973407443386e-16,0.0
105.28,5.279096087107166,-5.010903967415935e-15,-9.491973407443386e-16,0.0
105.3,5.280805022293947,-5.012526084150732e-15,-9.491973407443386e-16,0.0
105.32,5.283482837315408,-5.015067859048109e-15,-9.491973407443386e-16,0.0
105.34,5.285956875139452,-5.017416209171593e-15,-9.491973407443386e-16,0.0
105.36,5.287938519231492,-5.019297180474059e-15,-9.491973407443386e-16,0.0
105.38,5.289930122944463,-5.021187605422227e-15,-9.491973407443386e-16,0.0
105.4,5.2913847410440935,-5.022568325054196e-15,-9.491973407443386e-16,0.0
105.42,5.293675851142949,-5.0247430406673826e-15,-9.491973407443386e-16,0.0
105.44,5.29525433171028,-5.026241330224309e-15,-9.491973407443386e-16,0.0
105.46,5.297749150805414,-5.028609405875049e-15,-9.491973407443386e-16,0.0
105.48,5.300178346543124,-5.030915192009431e-15,-9.491973407443386e-16,0.0
105.5,5.301790142642456,-5.032445104580739e-15,-9.491973407443386e-16,0.0
105.52,5.303726006503705,-5.0342826214098796e-15,-9.491973407443386e-16,0.0
105.54,5.305375859436373,-5.035848657426188e-15,-9.491973407443386e-16,0.0
105.56,5.307348807333894,-5.037721374323941e-15,-9.491973407443386e-16,0.0
105.58,5.309607897740627,-5.0398656969305134e-15,-9.491973407443386e-16,0.0
105.6,5.311235227728632,-5.041410354227641e-15,-9.491973407443386e-16,0.0
105.62,5.312549802015095,-5.042658144644563e-15,-9.491973407443386e-16,0.0
105.64,5.313958841044592,-5.043995600744367e-15,-9.491973407443386e-16,0.0
105.66,5.316244732259781,-5.046165362607056e-15,-9.491973407443386e-16,0.0
105.68,5.318036088878657,-5.047865713546017e-15,-9.491973407443386e-16,0.0
105.7,5.320214105559081,-5.049933081187172e-15,-9.491973407443386e-16,0.0
105.72,5.322128024933423,-5.051749768367697e-15,-9.491973407443386e-16,0.0
105.74,5.324104573152874,-5.053625902681453e-15,-9.491973407443386e-16,0.0
105.76,5.326193890140162,-5.055609076809759e-15,-9.491973407443386e-16,0.0
105.78,5.329285646722478,-5.058543763935922e-15,-9.491973407443386e-16,0.0
105.8,5.330997573957664,-5.060168720715108e-15,-9.491973407443386e-16,0.0
105.82,5.33258132231606,-5.061672010445306e-15,-9.491973407443386e-16,0.0
105.84,5.333903282342756,-5.062926811387216e-15,-9.491973407443386e-16,0.0
105.86,5.3358397914494216,-5.0647649406815906e-15,-9.491973407443386e-16,0.0
105.88,5.337879431349909,-5.066700961451209e-15,-9.491973407443386e-16,0.0
105.9,5.339818411113836,-5.0685414358868854e-15,-9.491973407443386e-16,0.0
105.92,5.34189011835415,-5.070507894890192e-15,-9.491973407443386e-16,0.0
105.94,5.3438739165506295,-5.072390910862864e-15,-9.491973407443386e-16,0.0
105.96,5.345833697323515,-5.074251129560929e-15,-9.491973407443386e-16,0.0
105.98,5.347882947421065,-5.076196272304044e-15,-9.491973407443386e-16,0.0
106.0,5.3494506890323255,-5.077684368472426e-15,-9.491973407443386e-16,0.0
106.02,5.3515522712406955,-5.0796791847159666e-15,-9.491973407443386e-16,0.0
106.04,5.353618243323024,-5.081640199922564e-15,-9.491973407443386e-16,0.0
106.06,5.354867301206545,-5.082825802344038e-15,-9.491973407443386e-16,0.0
106.08,5.356417910095683,-5.084297636178142e-15,-9.491973407443386e-16,0.0
106.1,5.357816786793238,-5.085625446219491e-15,-9.491973407443386e-16,0.0
106.12,5.3588415107129315,-5.086598111439061e-15,-9.491973407443386e-16,0.0
