time,P_00,P_01,P_02,P_03,P_10,P_11,P_12,P_13,P_20,P_21,P_22,P_23,P_30,P_31,P_32,P_33
26.52,0.010007360000000036,-6.948243065859787e-21,-1.9348548908793653e-20,4.998074834363003e-22,-6.948243065859787e-21,0.010000039875124371,-2.0384116219311105e-05,5.265580316990385e-07,-1.9348548908793653e-20,-2.0384116219311105e-05,0.01084849115999999,-0.0009204140000000004,4.998074834363003e-22,5.265580316990385e-07,-0.0009204140000000004,0.0010009200000000045
26.54,0.010007520000000037,-7.105490200425309e-21,-1.7868386542372614e-20,3.7359275512293617e-22,-7.105490200425309e-21,0.010000034211855191,-1.882473304061369e-05,3.9358807603693193e-07,-1.7868386542372614e-20,-1.882473304061369e-05,0.01088574808799999,-0.0009404324000000001,3.7359275512293617e-22,3.9358807603693193e-07,-0.0009404324000000001,0.0010009400000000046
26.56,0.010007680000000038,-7.254172005016146e-21,-1.8777037521215753e-20,4.513123788258822e-22,-7.254172005016146e-21,0.010000037572347041,-1.9782016568326268e-05,4.7546738644671475e-07,-1.8777037521215753e-20,-1.9782016568326268e-05,0.010923805759999988,-0.0009604511999999997,4.513123788258822e-22,4.7546738644671475e-07,-0.0009604511999999997,0.0010009600000000047
26.58,0.010007840000000039,-7.40641414188245e-21,-1.8683289169349363e-20,4.422920138430272e-22,-7.40641414188245e-21,0.010000037181951566,-1.9683250644906303e-05,4.659642361578807e-07,-1.8683289169349363e-20,-1.9683250644906303e-05,0.010962664191999988,-0.0009804703999999995,4.422920138430272e-22,4.659642361578807e-07,-0.0009804703999999995,0.0010009800000000048
26.6,0.01000800000000004,-7.559575575956952e-21,-1.8328769122519583e-20,4.098516003499772e-22,-7.559575575956952e-21,0.010000035823056528,-1.930975608101322e-05,4.3178755645120244e-07,-1.8328769122519583e-20,-1.930975608101322e-05,0.011002323399999995,-0.0010004900000000027,4.098516003499772e-22,4.3178755645120244e-07,-0.0010004900000000027,0.001001000000000005
26.62,0.01000816000000004,-7.721585593422547e-21,-1.517031584143848e-20,1.2241681551317667e-22,-7.721585593422547e-21,0.010000025141986838,-1.598225699783594e-05,1.2896877209662257e-07,-1.517031584143848e-20,-1.598225699783594e-05,0.011042783399999994,-0.0010205100000000025,1.2241681551317667e-22,1.2896877209662257e-07,-0.0010205100000000025,0.001001020000000005
26.64,0.010008320000000041,-7.876329227503899e-21,-1.4143894374810456e-20,2.751004983960501e-23,-7.876329227503899e-21,0.010000022116209753,-1.4900899705133106e-05,2.8982434588399084e-08,-1.4143894374810456e-20,-1.4900899705133106e-05,0.011084044207999992,-0.001040530400000002,2.751004983960501e-23,2.8982434588399084e-08,-0.001040530400000002,0.0010010400000000051
26.66,0.010008480000000042,-8.038119636592132e-21,-9.774704146768497e-21,-3.8193679407344877e-22,-8.038119636592132e-21,0.010000011666502254,-1.0297862970310672e-05,-4.023787021716081e-07,-9.774704146768497e-21,-1.0297862970310672e-05,0.01112610583999999,-0.0010605512000000019,-3.8193679407344877e-22,-4.023787021716081e-07,-0.0010605512000000019,0.0010010600000000052
26.68,0.010008640000000043,-8.178257955913445e-21,-1.4816090989614403e-20,9.842544929679805e-23,-8.178257955913445e-21,0.010000024027741266,-1.560907342828832e-05,1.0369334707534606e-07,-1.4816090989614403e-20,-1.560907342828832e-05,0.01116896831199999,-0.0010805724000000016,9.842544929679805e-23,1.0369334707534606e-07,-0.0010805724000000016,0.0010010800000000053
26.7,0.010008800000000043,-8.333923146678562e-21,-1.3389441829691237e-20,-3.952315178403795e-23,-8.333923146678562e-21,0.010000020031084213,-1.4106067574095323e-05,-4.1638498221080806e-08,-1.3389441829691237e-20,-1.4106067574095323e-05,0.011212631639999988,-0.0011005940000000012,-3.952315178403795e-23,-4.1638498221080806e-08,-0.0011005940000000012,0.0010011000000000054
26.72,0.010008960000000044,-8.467113210301535e-21,-1.9456005949729258e-20,5.548609991786295e-22,-8.467113210301535e-21,0.010000039712461408,-2.0497324544200993e-05,5.845581054235996e-07,-1.9456005949729258e-20,-2.0497324544200993e-05,0.011257095839999986,-0.001120616000000001,5.548609991786295e-22,5.845581054235996e-07,-0.001120616000000001,0.0010011200000000055
26.74,0.010009120000000045,-8.589884219927868e-21,-2.62826228189136e-20,1.2319809816166566e-21,-8.589884219927868e-21,0.010000070370538126,-2.7689313581834692e-05,1.29791870323885e-06,-2.62826228189136e-20,-2.7689313581834692e-05,0.011302360927999985,-0.0011406384000000006,1.2319809816166566e-21,1.29791870323885e-06,-0.0011406384000000006,0.0010011400000000056
26.76,0.010009280000000046,-8.722522722023017e-21,-2.998387273900916e-20,1.6022784272112513e-21,-8.722522722023017e-21,0.010000090632997363,-3.158866070515588e-05,1.6880350991657664e-06,-2.998387273900916e-20,-3.158866070515588e-05,0.011348426919999993,-0.0011606612000000039,1.6022784272112513e-21,1.6880350991657664e-06,-0.0011606612000000039,0.0010011600000000057
26.78,0.010009440000000046,-8.85344224655579e-21,-3.357624735241763e-20,1.9656680288235868e-21,-8.85344224655579e-21,0.010000112706436769,-3.537330532983573e-05,2.070873931528459e-06,-3.357624735241763e-20,-3.537330532983573e-05,0.011395293831999992,-0.0011806844000000036,1.9656680288235868e-21,2.070873931528459e-06,-0.0011806844000000036,0.0010011800000000058
26.8,0.010009600000000047,-9.00733689393251e-21,-3.3287425090661877e-20,1.9317396858806753e-21,-9.00733689393251e-21,0.010000110575085604,-3.506902480843302e-05,2.035129685852101e-06,-3.3287425090661877e-20,-3.506902480843302e-05,0.011442961679999992,-0.0012007080000000032,1.9317396858806753e-21,2.035129685852101e-06,-0.0012007080000000032,0.001001200000000006
26.82,0.010009760000000048,-9.204282759240294e-21,-2.4890074563297997e-20,1.0484069568125768e-21,-9.204282759240294e-21,0.010000063088341959,-2.6222233770461004e-05,1.1045194837887349e-06,-2.4890074563297997e-20,-2.6222233770461004e-05,0.011491430479999992,-0.001220732000000003,1.0484069568125768e-21,1.1045194837887349e-06,-0.001220732000000003,0.001001220000000006
26.84,0.010009920000000049,-9.37767242043844e-21,-1.962619492735705e-20,4.881890373338576e-22,-9.37767242043844e-21,0.01000004041857061,-2.0676622325939743e-05,5.143177465615643e-07,-1.962619492735705e-20,-2.0676622325939743e-05,0.01154070024799999,-0.0012407564000000027,4.881890373338576e-22,5.143177465615643e-07,-0.0012407564000000027,0.001001240000000006
26.86,0.01001008000000005,-9.530225796641626e-21,-1.9444341649048386e-20,4.676322281781275e-22,-9.530225796641626e-21,0.010000039700277737,-2.0485035950269896e-05,4.926607019478384e-07,-1.9444341649048386e-20,-2.0485035950269896e-05,0.011590770999999988,-0.0012607812000000023,4.676322281781275e-22,4.926607019478384e-07,-0.0012607812000000023,0.0010012600000000062
26.88,0.01001024000000005,-9.675808417254676e-21,-2.116189160268347e-20,6.530373188415627e-22,-9.675808417254676e-21,0.010000046325827173,-2.2294512104394203e-05,6.879889890225207e-07,-2.116189160268347e-20,-2.2294512104394203e-05,0.011641642751999987,-0.001280806400000002,6.530373188415627e-22,6.879889890225207e-07,-0.001280806400000002,0.0010012800000000063
26.9,0.010010400000000051,-9.824016173383026e-21,-2.211289464702377e-20,7.560025920405336e-22,-9.824016173383026e-21,0.010000050185739367,-2.3296414452323815e-05,7.964651391118455e-07,-2.211289464702377e-20,-2.3296414452323815e-05,0.011693315519999987,-0.0013008320000000018,7.560025920405336e-22,7.964651391118455e-07,-0.0013008320000000018,0.0010013000000000064
26.92,0.010010560000000052,-9.929006687893459e-21,-3.180648754188368e-20,1.8303016232005343e-21,-9.929006687893459e-21,0.010000099575953601,-3.350882495829764e-05,1.9282624851911766e-06,-3.180648754188368e-20,-3.350882495829764e-05,0.011745789319999995,-0.001320858000000005,1.8303016232005343e-21,1.9282624851911766e-06,-0.001320858000000005,0.0010013200000000065
26.94,0.010010720000000053,-1.007604968619861e-20,-3.2680279897035405e-20,1.924235097243088e-21,-1.007604968619861e-20,0.010000104662963442,-3.4429384169374364e-05,2.027223438841651e-06,-3.2680279897035405e-20,-3.4429384169374364e-05,0.011799064167999994,-0.0013408844000000048,1.924235097243088e-21,2.027223438841651e-06,-0.0013408844000000048,0.0010013400000000066
26.96,0.010010880000000054,-1.0246752937969439e-20,-2.930689283493644e-20,1.5373780595257929e-21,-1.0246752937969439e-20,0.010000084823382733,-3.0875447682938746e-05,1.6196611532015218e-06,-2.930689283493644e-20,-3.0875447682938746e-05,0.011853140079999993,-0.0013609112000000044,1.5373780595257929e-21,1.6196611532015218e-06,-0.0013609112000000044,0.0010013600000000067
26.98,0.010011040000000054,-1.041244796234582e-20,-2.6545413088485037e-20,1.2175246242437668e-21,-1.041244796234582e-20,0.010000070260078282,-2.7966168834468822e-05,1.2826886169834953e-06,-2.6545413088485037e-20,-2.7966168834468822e-05,0.011908017071999991,-0.0013809384000000042,1.2175246242437668e-21,1.2826886169834953e-06,-0.0013809384000000042,0.0010013800000000068
27.0,0.010011200000000055,-1.0563981169669781e-20,-2.6641871463985436e-20,1.225867417701417e-21,-1.0563981169669781e-20,0.010000070616555466,-2.8067789826605988e-05,1.2914779309644087e-06,-2.6641871463985436e-20,-2.8067789826605988e-05,0.011963695159999989,-0.001400966000000004,1.225867417701417e-21,1.2914779309644087e-06,-0.001400966000000004,0.0010014000000000069
