time,x,y,yaw,bias_z,P_xx,P_yy,P_yaw,P_bias,info_eig_0,info_eig_1,info_eig_2,min_info_eigenvalue
113.2,0.2707066709415889,-0.0007730846253781483,0.0063342856768182,-0.0023394471867852857,4.5242950782482813e-07,5.326317018177521e-10,2.7361933443505497e-08,2.6736651189839666e-06,160.3902244117598,831.6409907169375,2733.7531314121666,160.3902244117598
113.3,0.27207565669158107,-0.0007624955490850896,0.006282784365976411,-0.002256415337461859,4.693197220712348e-07,5.404987478387052e-10,2.7798476115166085e-08,2.664404691318619e-06,160.10626643898027,838.6624281122508,3352.8941889319676,160.10626643898027
113.4,0.2732620014039084,-0.0007548915394135038,0.006225889065403858,-0.0021733821997030785,4.712893286744646e-07,5.409234234846985e-10,2.7773372749865602e-08,2.655488390622174e-06,159.69254335186724,839.0387303328605,3356.5415260706777,159.69254335186724
113.5,0.27316403015242274,-0.0007557319472963849,0.006204260114926981,-0.002164009634445591,2.693730589292654e-07,5.309588012464893e-10,1.4371861445173139e-08,2.6529992495946993e-06,158.95433479335296,839.6914883681266,3365.426621114302,158.95433479335296
113.6,0.2731673399079916,-0.0007559417844224287,0.006187155763396369,-0.00215659019494404,1.886229223819715e-07,5.256210147385427e-10,9.692036333070962e-09,2.6521299710459867e-06,158.83317964244216,839.7953676726848,3367.791154552109,158.83317964244216
113.7,0.27318933354874836,-0.0007560416466595191,0.006167213211981561,-0.0021479471887356104,1.4519640731672856e-07,5.217224548774412e-10,7.3113643372110255e-09,2.651687704028729e-06,158.47630729690948,840.110316376336,3367.661946929267,158.47630729690948
113.8,0.27315046476172455,-0.0007564932497563015,0.006158055073076783,-0.002143954443350745,1.1800484103432631e-07,5.184610908424267e-10,5.869912593585319e-09,2.6514198823000352e-06,158.6155004464041,839.9744732344323,3366.8583752280388,158.6155004464041
113.9,0.2731175178291124,-0.0007569080290250095,0.006150044653238489,-0.0021404564074564893,9.938428705324055e-08,5.15544379405102e-10,4.903414365319179e-09,2.6512402763760438e-06,158.6883657265736,839.9154154733797,3366.022742012702,158.6883657265736
114.0,0.2730858982916685,-0.0007571677758450371,0.00614679861579023,-0.0021390430372734298,8.578123461210387e-08,5.128527643247235e-10,4.209766408189742e-09,2.651111349542318e-06,159.50311527934193,839.3111655207632,3364.617743095454,159.50311527934193
114.1,0.27305648263514803,-0.0007574594065826036,0.006142741266215772,-0.0021372702918912773,7.543830899847306e-08,5.103003919875186e-10,3.688541948607571e-09,2.651014450548189e-06,159.77779988562736,839.0748884288123,3360.9880037235225,159.77779988562736
114.2,0.27302887131452913,-0.000757687976722277,0.006140259658776321,-0.0021361877780032607,6.733931351353742e-08,5.078506347798471e-10,3.2816332327019066e-09,2.6509387785224924e-06,159.38214091196207,839.4390247970811,3365.461974898511,159.38214091196207
114.3,0.27304143711699846,-0.0007580557021612378,0.006044353279909342,-0.0020947693428975756,6.619093992050336e-08,5.07469026078801e-10,3.229662991388763e-09,2.650929104611353e-06,161.16731564835922,834.9737490861182,3075.1053928880283,161.16731564835922
114.4,0.2790106941242091,-0.0007229746003460068,0.00417156628314316,-0.001435129591461024,1.4998442256182752e-06,5.595318043975176e-10,1.5433867498563975e-07,2.678055274014557e-06,168.41116460739372,823.6808753918704,2928.9845233810884,168.41116460739372
114.5,0.2899115291242253,-0.0006775097790493612,0.005650937369985115,-0.001684392921657522,2.5075220363765087e-06,5.902672395231858e-10,1.8276596504188876e-07,2.7422381638247338e-06,163.94881091053585,829.8383196341913,2825.433249948784,163.94881091053585
114.6,0.2973025172190147,-0.000629628006205824,0.00855981370696432,-0.0022754416537246807,3.0047351716908236e-06,6.517160662980399e-10,2.7689469024933914e-07,2.7958329163282472e-06,166.12196510300024,814.6240405109704,2364.5598431461594,166.12196510300024
114.7,0.2964236244428393,-0.0006414868420798424,0.004843517568746706,-0.0014632624272534441,2.2257699776179742e-06,6.29547581724652e-10,1.780966875909569e-07,2.7911248247598535e-06,183.80636392329956,805.4778410169511,3192.0434371208485,183.80636392329956
114.8,0.3002548521266914,-0.0006213065800966422,0.007181012009420345,-0.001947089311228835,3.001354141201183e-06,6.718952066682019e-10,2.3253753783012225e-07,2.8390175039271745e-06,168.60218847881904,820.0902346706249,3005.0531687141947,168.60218847881904
