time,x,y,yaw
27.82,2.958690478031319e-14,1.5975239865452763e-30,-9.490349839815343e-16
27.84,2.958690708578216e-14,1.597521798568869e-30,-9.49038021403833e-16
27.86,2.9586911835455774e-14,1.5975172909498647e-30,-9.49038131289396e-16
27.88,2.958691606297039e-14,1.597513278823103e-30,-9.490510184707353e-16
27.9,2.958691788364371e-14,1.597511550920062e-30,-9.490437791465095e-16
27.92,2.9586922682598743e-14,1.5975069965267673e-30,-9.490371593567674e-16
27.94,2.95869240178086e-14,1.597505729362167e-30,-9.490325761026129e-16
27.96,2.9586928236888235e-14,1.5975017253181446e-30,-9.490290400493351e-16
27.98,2.958693792799298e-14,1.597492528169043e-30,-9.490259286904328e-16
28.0,2.958694251742129e-14,1.597488172655398e-30,-9.49031866400602e-16
28.02,2.958694218729436e-14,1.597488485949527e-30,-9.490244782704356e-16
28.04,2.9586947541183286e-14,1.5974834049973456e-30,-9.490199764878475e-16
28.06,2.9586948328073724e-14,1.597482658236834e-30,-9.49017437963794e-16
28.08,2.958694861661016e-14,1.597482384407621e-30,-9.490136470929822e-16
28.1,2.95869490047077e-14,1.5974820160957057e-30,-9.490144117442038e-16
28.12,2.958695256861351e-14,1.5974786339215945e-30,-9.49006553902983e-16
28.14,2.958695260775214e-14,1.597478596779166e-30,-9.489965334167247e-16
28.16,2.958695432383777e-14,1.5974769682308685e-30,-9.489895005221728e-16
28.18,2.958695237983511e-14,1.597478813086836e-30,-9.489945381872825e-16
28.2,2.958695358078549e-14,1.5974776733920512e-30,-9.490007766507507e-16
28.22,2.95869579338038e-14,1.5974735423655993e-30,-9.490062019397686e-16
28.24,2.958695695059354e-14,1.5974744754584617e-30,-9.489959545339475e-16
28.26,2.958695944815363e-14,1.5974721052825033e-30,-9.489963308671578e-16
28.28,2.9586963453908205e-14,1.597468303825937e-30,-9.490129613595634e-16
28.3,2.958696680180771e-14,1.5974651266208008e-30,-9.490272081916453e-16
28.32,2.958697237999391e-14,1.5974598327281355e-30,-9.490351288932473e-16
28.34,2.958697522552091e-14,1.597457132230733e-30,-9.490312203726667e-16
28.36,2.958697835340757e-14,1.597454163754227e-30,-9.490433499669234e-16
28.38,2.958698293502443e-14,1.5974498156236994e-30,-9.490388099091038e-16
28.4,2.958698667141941e-14,1.597446269633149e-30,-9.490333229416865e-16
28.42,2.958698903857456e-14,1.5974440231355905e-30,-9.490301014873684e-16
28.44,2.958699071073407e-14,1.597442436197443e-30,-9.490330274856358e-16
28.46,2.9586993939408965e-14,1.5974393720911523e-30,-9.490292078390399e-16
28.48,2.9586994335396963e-14,1.597438996282805e-30,-9.490206429922453e-16
28.5,2.958699516623808e-14,1.5974382078079848e-30,-9.490156776727647e-16
28.52,2.958700208274775e-14,1.5974316439324712e-30,-9.490191590381813e-16
28.54,2.9587002059636054e-14,1.597431665854322e-30,-9.490215521140805e-16
28.56,2.958700480004078e-14,1.5974290651364785e-30,-9.49029639005104e-16
28.58,2.958700570409936e-14,1.59742820716284e-30,-9.490213772288085e-16
28.6,2.958700802714951e-14,1.597426002520614e-30,-9.490208790864971e-16
28.62,2.958700445195035e-14,1.5974293954480085e-30,-9.490184484451994e-16
28.64,2.9587010456302415e-14,1.5974236971810433e-30,-9.490168865111936e-16
28.66,2.9587014849411355e-14,1.5974195280233513e-30,-9.49029121513139e-16
28.68,2.958702493599277e-14,1.597409955586306e-30,-9.49024495871437e-16
28.7,2.958702300627488e-14,1.5974117869364023e-30,-9.490217758229478e-16
28.72,2.958702692172955e-14,1.5974080711051285e-30,-9.49009928596293e-16
28.74,2.958702892058079e-14,1.597406174162947e-30,-9.490199535757454e-16
28.76,2.9587027208618004e-14,1.5974077988412036e-30,-9.49014792860688e-16
28.78,2.958702513127484e-14,1.597409770260685e-30,-9.49025291994927e-16
28.8,2.958702646246309e-14,1.5974085069246097e-30,-9.490363553185255e-16
28.82,2.958702875177945e-14,1.5974063342845313e-30,-9.490466333781877e-16
28.84,2.9587028787806023e-14,1.5974063000951535e-30,-9.490479517953444e-16
28.86,2.958703267214065e-14,1.5974026137034645e-30,-9.490369414030032e-16
28.88,2.958703165821492e-14,1.5974035759590268e-30,-9.490435426983905e-16
28.9,2.958703696491875e-14,1.5973985396438457e-30,-9.490518348441585e-16
28.92,2.9587040286578e-14,1.5973953872068034e-30,-9.49060220597045e-16
28.94,2.9587046953614157e-14,1.59738905979313e-30,-9.490574658115234e-16
28.96,2.958704902369181e-14,1.597387095166187e-30,-9.49041882318283e-16
28.98,2.958705132124228e-14,1.5973849146776997e-30,-9.490477656357197e-16
29.0,2.9587059501256327e-14,1.5973771514246732e-30,-9.490565126639292e-16
29.02,2.958706466746227e-14,1.5973722484023602e-30,-9.490551523441063e-16
29.04,2.958706678260495e-14,1.59737024101842e-30,-9.4905100563996e-16
29.06,2.958706795366663e-14,1.5973691296207743e-30,-9.490417100410166e-16
29.08,2.958706924079215e-14,1.5973679081030564e-30,-9.490489964604278e-16
29.1,2.958707401450551e-14,1.5973633776503704e-30,-9.490442010803767e-16
29.12,2.958707793340194e-14,1.5973596584270204e-30,-9.49045720854106e-16
29.14,2.9587076273917156e-14,1.5973612333551824e-30,-9.490452277222446e-16
29.16,2.958707430111271e-14,1.597363105614488e-30,-9.490366092608026e-16
29.18,2.958707093362284e-14,1.5973663014819182e-30,-9.49039581361537e-16
29.2,2.958707405843206e-14,1.597363335888493e-30,-9.490500255285478e-16
29.22,2.958707445131705e-14,1.597362963033204e-30,-9.490580229153657e-16
29.24,2.958707372786915e-14,1.5973636496178243e-30,-9.490588527391514e-16
29.26,2.958707252813527e-14,1.5973647882293255e-30,-9.490511140581471e-16
29.28,2.958707814637022e-14,1.5973594562042464e-30,-9.490583920301201e-16
29.3,2.9587080412534746e-14,1.597357305486411e-30,-9.49051102848197e-16
29.32,2.958708764823231e-14,1.5973504384574252e-30,-9.490480416983665e-16
29.34,2.9587097533423316e-14,1.597341056935303e-30,-9.490439308901998e-16
29.36,2.958710175171357e-14,1.5973370536054954e-30,-9.490393934154737e-16
29.38,2.9587104619198856e-14,1.597334332246317e-30,-9.490424708237906e-16
29.4,2.9587108710511777e-14,1.5973304493640017e-30,-9.490543981472165e-16
29.42,2.958711296252407e-14,1.5973264140123837e-30,-9.490480220001153e-16
29.44,2.958711608754044e-14,1.597323448227829e-30,-9.490449348093237e-16
29.46,2.958712022104021e-14,1.5973195253358644e-30,-9.490543821821075e-16
29.48,2.958712272478351e-14,1.5973171491529626e-30,-9.490417102445428e-16
29.5,2.9587125475858603e-14,1.597314538258154e-30,-9.490500587154054e-16
29.52,2.958713093886522e-14,1.5973093536569115e-30,-9.490209887094642e-16
29.54,2.9587136788822297e-14,1.597303801931625e-30,-9.490119027779797e-16
29.56,2.9587139568291225e-14,1.5973011641608855e-30,-9.490262621635365e-16
29.58,2.95871409198399e-14,1.5972998815054075e-30,-9.490229962207292e-16
29.6,2.958714133064885e-14,1.5972994916363912e-30,-9.490179268771428e-16
29.62,2.9587143910239645e-14,1.5972970435637186e-30,-9.490129370901314e-16
29.64,2.958714432198952e-14,1.5972966527912894e-30,-9.490235794549578e-16
29.66,2.9587151599086397e-14,1.5972897466040502e-30,-9.490311551546484e-16
29.68,2.9587152674173585e-14,1.5972887263084362e-30,-9.490387957076038e-16
29.7,2.9587155281294235e-14,1.597286252057209e-30,-9.490270505195865e-16
29.72,2.9587155770714243e-14,1.5972857875796427e-30,-9.49032773372523e-16
29.74,2.958716020480336e-14,1.597281579510431e-30,-9.490235056508039e-16
29.76,2.958716031651687e-14,1.5972814734846493e-30,-9.490200680278822e-16
29.78,2.9587163883454e-14,1.5972780884188596e-30,-9.490148229590448e-16
29.8,2.9587166895391076e-14,1.5972752300442173e-30,-9.49016694923133e-16
29.82,2.9587169247487364e-14,1.597272997891596e-30,-9.490098360662694e-16
29.84,2.958716976720111e-14,1.597272504680857e-30,-9.490158933955513e-16
29.86,2.9587177491000836e-14,1.597265174645317e-30,-9.490224331243524e-16
29.88,2.958718021760698e-14,1.5972625870447914e-30,-9.490165150214472e-16
29.9,2.9587177287284727e-14,1.5972653679867953e-30,-9.490242551678237e-16
29.92,2.958717729646091e-14,1.5972653592979485e-30,-9.490116076115671e-16
29.94,2.9587177206980315e-14,1.5972654442034864e-30,-9.489971743713378e-16
29.96,2.9587183212426224e-14,1.5972597450776145e-30,-9.489926721051147e-16
